21470-21452-fetal,normal,MA0000216 spinal column 133B
Probe Array Lot: 
Operator Name: ec
Sample Type: 
Sample Description: 
Project: 
Comments: 
Reagents: 
Reagent Lot: 
Algorithm: Statistical
Corner+ Avg:97, Count:32
Corner- Avg:8712, Count:32
BF= Alpha1=0.05 Alpha2=0.065 Tau=0.015 Gamma1H=0.0045 Gamma1L=0.0045 Gamma2H=0.006 Gamma2L=0.006 Perturbation=1.1 TGT=2500 NF=1.000000 SF=24.506239 SFGene=All 
Background=Avg:66.33,Stdev:2.48,Max:76.0,Min:61.5 Noise=Avg:3.49,Stdev:0.25,Max:4.3,Min:2.9 RawQ=2.67 

Probe Set Name	Stat Pairs	Stat Pairs Used	Signal	Detection	Detection p-value	Stat Common Pairs	Signal Log Ratio	Signal Log Ratio Low	Signal Log Ratio High	Change	Change p-value	Positive	Negative	Pairs	Pairs Used	Pairs InAvg	Pos Fraction	Log Avg	Pos/Neg	Avg Diff	Abs Call	Inc	Dec	Inc Ratio	Dec Ratio	Pos Change	Neg Change	Inc/Dec	DPos-DNeg Ratio	Log Avg Ratio Change	Diff Call	Avg Diff Change	B=A	Fold Change	Sort Score	
222457_s_at	11	11	3976.0	P	0.000732																															
222458_s_at	11	11	5509.5	P	0.008057																															
222459_at	11	11	6122.5	P	0.000732																															
222460_s_at	11	11	9189.6	P	0.005859																															
222461_s_at	11	11	1445.1	A	0.111572																															
222462_s_at	11	11	14988.3	P	0.000732																															
222463_s_at	11	11	7485.9	P	0.001221																															
222464_s_at	11	11	5411.3	P	0.000244																															
222465_at	11	11	10740.3	P	0.000244																															
222466_s_at	11	11	6702.0	P	0.014160																															
222467_s_at	11	11	9553.0	P	0.000244																															
222468_at	11	11	7200.4	P	0.000244																															
222469_s_at	11	11	3431.7	P	0.000244																															
222470_s_at	11	11	1845.3	P	0.037598																															
222471_s_at	11	11	6779.4	P	0.000244																															
222472_at	11	11	9404.1	P	0.000244																															
222473_s_at	11	11	8593.4	P	0.000244																															
222474_s_at	11	11	6280.1	P	0.000732																															
222475_at	11	11	3273.5	P	0.005859																															
222476_at	11	11	8979.2	P	0.004150																															
222477_s_at	11	11	13919.4	P	0.000244																															
222478_at	11	11	20434.3	P	0.000244																															
222479_s_at	11	11	8080.1	P	0.030273																															
222480_at	11	11	2700.2	P	0.000244																															
222481_at	11	11	5502.8	P	0.000244																															
222482_at	11	11	16386.4	P	0.000244																															
222483_at	11	11	2249.7	A	0.095215																															
222484_s_at	11	11	5046.5	P	0.001221																															
222485_at	11	11	788.3	A	0.334473																															
222486_s_at	11	11	996.3	A	0.095215																															
222487_s_at	11	11	1280.5	P	0.018555																															
222488_s_at	11	11	22179.1	P	0.000244																															
222489_s_at	11	11	8155.6	P	0.014160																															
222490_at	11	11	2203.3	P	0.000244																															
222491_at	11	11	4134.5	P	0.030273																															
222492_at	11	11	3883.6	P	0.001953																															
222493_s_at	11	11	6666.4	P	0.005859																															
222494_at	11	11	14908.6	P	0.002930																															
222495_at	11	11	10418.0	P	0.000244																															
222496_s_at	11	11	1773.4	A	0.219482																															
222497_x_at	11	11	12612.1	P	0.000244																															
222498_at	11	11	4074.7	P	0.000244																															
222499_at	11	11	2560.7	P	0.014160																															
222500_at	11	11	5842.9	P	0.000732																															
222501_s_at	11	11	1558.1	P	0.023926																															
222502_s_at	11	11	11139.8	P	0.001953																															
222503_s_at	11	11	6812.4	P	0.000244																															
222504_s_at	11	11	114.9	A	0.274170																															
222505_at	11	11	4476.6	P	0.023926																															
222506_at	11	11	3641.9	P	0.023926																															
222507_s_at	11	11	11509.3	P	0.000244																															
222508_s_at	11	11	1513.0	P	0.018555																															
222509_s_at	11	11	1598.1	P	0.014160																															
222510_s_at	11	11	5040.8	P	0.000732																															
222511_x_at	11	11	1197.2	A	0.129639																															
222512_at	11	11	7816.3	P	0.008057																															
222513_s_at	11	11	17762.8	P	0.000732																															
222514_at	11	11	11056.3	P	0.000732																															
222515_x_at	11	11	308.4	A	0.888428																															
222516_at	11	11	12297.7	P	0.001221																															
222517_at	11	11	5107.8	P	0.002930																															
222518_at	11	11	4647.2	P	0.001221																															
222519_s_at	11	11	3099.5	A	0.129639																															
222520_s_at	11	11	1145.1	P	0.037598																															
222521_x_at	11	11	5274.2	P	0.037598																															
222522_x_at	11	11	4188.0	P	0.018555																															
222523_at	11	11	3875.2	P	0.002930																															
222524_s_at	11	11	3533.8	P	0.008057																															
222525_s_at	11	11	5896.8	P	0.014160																															
222526_at	11	11	3023.0	P	0.005859																															
222527_s_at	11	11	3159.2	P	0.000244																															
222528_s_at	11	11	1347.7	A	0.095215																															
222529_at	11	11	1351.8	P	0.005859																															
222530_s_at	11	11	5166.4	P	0.001953																															
222531_s_at	11	11	11171.8	P	0.005859																															
222532_at	11	11	3236.8	P	0.001221																															
222533_at	11	11	20544.5	P	0.000244																															
222534_s_at	11	11	1163.6	A	0.067627																															
222535_at	11	11	664.4	A	0.219482																															
222536_s_at	11	11	1470.0	A	0.246094																															
222537_s_at	11	11	2260.2	P	0.005859																															
222538_s_at	11	11	6444.9	P	0.014160																															
222539_at	11	11	205.8	A	0.696289																															
222540_s_at	11	11	4384.3	P	0.005859																															
222541_at	11	11	4513.9	P	0.023926																															
222542_x_at	11	11	49.1	A	0.665527																															
222543_at	11	11	14545.7	P	0.000244																															
222544_s_at	11	11	10423.5	P	0.001953																															
222545_s_at	11	11	2107.1	A	0.171387																															
222546_s_at	11	11	43.4	A	0.888428																															
222547_at	11	11	11434.4	P	0.000244																															
222548_s_at	11	11	7506.6	P	0.000244																															
222549_at	11	11	3437.9	P	0.005859																															
222550_at	11	11	19542.8	P	0.000244																															
222551_s_at	11	11	2602.0	P	0.000244																															
222552_at	11	11	12567.7	P	0.000244																															
222553_x_at	11	11	12804.2	P	0.000244																															
222554_s_at	11	11	2430.1	A	0.129639																															
222555_s_at	11	11	5058.2	P	0.000244																															
222556_at	11	11	1007.8	P	0.008057																															
222557_at	11	11	52100.1	P	0.000244																															
222558_at	11	11	4579.4	P	0.000244																															
222559_s_at	11	11	10347.0	P	0.000244																															
222560_at	11	11	101.4	A	0.533936																															
222561_at	11	11	12530.1	P	0.010742																															
222562_s_at	11	11	4997.2	P	0.000244																															
222563_s_at	11	11	4553.5	P	0.018555																															
222564_at	11	11	404.9	A	0.149658																															
222565_s_at	11	11	2694.3	P	0.046143																															
222566_at	11	11	4405.2	P	0.000244																															
222567_s_at	11	11	5044.7	P	0.046143																															
222568_at	11	11	1323.0	A	0.303711																															
222569_at	11	11	2559.4	P	0.018555																															
222570_at	11	11	9056.4	P	0.001221																															
222571_at	11	11	2732.1	A	0.111572																															
222572_at	11	11	13975.9	P	0.000244																															
222573_s_at	11	11	3196.5	P	0.014160																															
222574_s_at	11	11	12261.8	P	0.000244																															
222575_at	11	11	2970.7	P	0.010742																															
222576_s_at	11	11	2171.1	P	0.046143																															
222577_at	11	11	1689.7	A	0.095215																															
222578_s_at	11	11	5964.3	P	0.001953																															
222579_at	11	11	6337.2	P	0.000732																															
222580_at	11	11	23117.2	P	0.000244																															
222581_at	11	11	9306.4	P	0.023926																															
222582_at	11	11	4653.1	P	0.000244																															
222583_s_at	11	11	1415.7	P	0.023926																															
222584_at	11	11	6828.2	P	0.002930																															
222585_x_at	11	11	4874.9	P	0.000732																															
222586_s_at	11	11	3747.2	P	0.018555																															
222587_s_at	11	11	3173.9	P	0.010742																															
222588_s_at	11	11	4999.9	A	0.111572																															
222589_at	11	11	7421.6	P	0.000244																															
222590_s_at	11	11	4117.4	P	0.000244																															
222591_at	11	11	534.2	P	0.023926																															
222592_s_at	11	11	193.8	A	0.533936																															
222593_s_at	11	11	2839.1	P	0.010742																															
222594_s_at	11	11	2282.0	A	0.067627																															
222595_s_at	11	11	369.2	A	0.398926																															
222596_s_at	11	11	191.9	A	0.828613																															
222597_at	11	11	3292.4	M	0.056152																															
222598_s_at	11	11	2044.9	A	0.111572																															
222599_s_at	11	11	6308.0	P	0.030273																															
222600_s_at	11	11	4648.6	P	0.000244																															
222601_at	11	11	4733.1	P	0.000732																															
222602_at	11	11	8522.4	P	0.000244																															
222603_at	11	11	4654.0	P	0.000244																															
222604_at	11	11	1717.9	P	0.000244																															
222605_at	11	11	19773.2	P	0.000244																															
222606_at	11	11	10840.8	P	0.000244																															
222607_s_at	11	11	3288.3	P	0.000244																															
222608_s_at	11	11	3435.1	P	0.000244																															
222609_s_at	11	11	4320.7	P	0.001221																															
222610_s_at	11	11	3847.7	P	0.001953																															
222611_s_at	11	11	1472.8	P	0.000732																															
222612_at	11	11	2835.1	P	0.000244																															
222613_at	11	11	5664.9	P	0.000244																															
222614_at	11	11	1941.3	P	0.014160																															
222615_s_at	11	11	2357.4	P	0.010742																															
222616_s_at	11	11	2664.5	P	0.001221																															
222617_s_at	11	11	7445.6	P	0.001953																															
222618_at	11	11	3483.7	P	0.004150																															
222619_at	11	11	5397.6	P	0.000244																															
222620_s_at	11	11	19198.0	P	0.000244																															
222621_at	11	11	6048.6	P	0.000732																															
222622_at	11	11	5954.8	P	0.000244																															
222623_s_at	11	11	10235.2	P	0.000244																															
222624_s_at	11	11	2893.0	P	0.001221																															
222625_s_at	11	11	854.6	P	0.030273																															
222626_at	11	11	1650.5	P	0.014160																															
222627_at	11	11	4653.8	P	0.001221																															
222628_s_at	11	11	3877.9	P	0.010742																															
222629_at	11	11	1673.7	P	0.030273																															
222630_at	11	11	17064.7	P	0.000244																															
222631_at	11	11	3386.6	P	0.002930																															
222632_s_at	11	11	3369.4	M	0.056152																															
222633_at	11	11	7665.0	P	0.000732																															
222634_s_at	11	11	2821.3	P	0.005859																															
222635_s_at	11	11	6819.3	P	0.010742																															
222636_at	11	11	3127.4	A	0.067627																															
222637_at	11	11	5176.0	P	0.000244																															
222638_s_at	11	11	3323.7	P	0.046143																															
222639_s_at	11	11	451.4	A	0.334473																															
222640_at	11	11	5840.7	A	0.111572																															
222641_s_at	11	11	6551.4	P	0.018555																															
222642_s_at	11	11	2217.2	P	0.000244																															
222643_s_at	11	11	1932.1	P	0.046143																															
